n,lambda_n,lambda_n_over_n
170,244.122401552877407905971361307,1.43601412678163181121159624298
171,246.050549951935040611738541964,1.43889210498207626088735989453
172,247.991285861810552213781522324,1.44180980152215437333593908328
173,249.944727029667870895081819588,1.44476720826397613234151340802
174,251.910944210667032057029704222,1.44776404718774156354614772541
175,253.889960337647373040988487318,1.45079977335798498880564849896
176,255.88174992695234037802655663,1.45387357913041102487515088994
177,257.886238724469067945307448425,1.45698439957327157031247146003
178,259.903303594757913861972198815,1.46013091907167367338186628548
179,261.932772654931855016086214687,1.46331157907783159226863807087
180,263.9744256537191266562762267,1.46652458696510625920153459278
181,266.02799459491091925569049025,1.46976792593873436052867674171
182,268.093164603165496596883723179,1.47303936595145877251035012736
183,270.169575028916969397467394199,1.47633647556785229178943931256
184,272.256820787927309312269458941,1.47965663471699624626233401598
185,274.354453929830119233101020566,1.48299704826935199585460011117
186,276.461985428850196148079016185,1.48635476037016234488214524831
187,278.578887188749919162154540746,1.48972666945855571744467668848
188,280.704594252957702812317144935,1.4931095438987111851718997071
189,282.838507209780729315731920382,1.49650003814698798579752338826
190,284.979994781599259262685812396,1.49989470937683820664571480209
191,287.12839658598812957714040976,1.50329003448161324385937387309
192,289.283026055817430279901260621,1.50668242737404911604115239907
193,291.443173504553372080107981651,1.51006825650027653927517088939
194,293.608109322216270815702866529,1.513443862485650880493313745
195,295.777087286759307806112248742,1.51680557582953491182621666021
196,297.949347975012852742377342619,1.52014973456639210582845582969
197,300.124122256797865074407065842,1.52347270181115667550460439514
198,302.300634855351043682151495019,1.52677088310783355395026007585
199,304.478107956826396726359610478,1.53004074350164018455457090692
200,306.655764851344766412722551571,1.53327882425672383206361275785
201,308.832833587856157717207163064,1.53648175914356297371744857246
202,311.008550624960646699849431411,1.53964629022257745891014570006
203,313.182164459802907601091324073,1.54276928305321629360143509396
204,315.352939217213283188991086594,1.54584774126084942739701513036
205,317.520158181414672788499452672,1.54887882039714474530975342767
206,319.683127252848728787070007174,1.55185984103324625624791265618
207,321.841178312995898290280305796,1.5547883010289656922235763565
208,323.993672480470251383783448508,1.55766188692533774703742042552
209,326.140003242159903836289509473,1.56047848441224834371430387308
210,328.279599443754855219424773688,1.56323618782740407247345130328
211,330.41192812465350222372680428,1.5659333086476469299702692146
212,332.536497182963837339024550512,1.56856838293850866669351203072
213,334.652857857111913248238475946,1.5711401777329197805081618589
214,336.760607011434690896509470456,1.57364769631511537802107229185
215,338.859389214062700275154852278,1.57609018239098930360537140594
216,340.94889859638551259844318414,1.57846712313141441017797770435
217,343.028880484435037191849742232,1.58077825108034579351082830522
218,345.099132793613027620742886201,1.58302354492483040193001323946
219,347.159507179324571224360993394,1.58520322912933594166374882828
220,349.209909937253182844559777138,1.58731777244205992202072625972
